#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
0,21.78,0.0,0.0,0.0,0.33354000000000006,0.21582,9.85905
5050505,21.78,0.0,0.0,0.0,0.34335000000000004,0.24525000000000002,9.87867
10101010,21.78,0.0,0.0,0.0,0.32373,0.22563,9.87867
15151515,21.78,0.0,0.0,0.0,0.30411,0.22563,9.888480000000001
20202020,21.78,0.0,0.0,0.0,0.32373,0.22563,9.89829
25252525,21.78,0.0,0.0,0.0,0.33354000000000006,0.20601000000000003,9.87867
30303030,21.78,0.0,0.0,0.0,0.31392000000000003,0.22563,9.86886
35353535,21.78,0.0,0.0,0.0,0.33354000000000006,0.20601000000000003,9.84924
40404040,21.78,0.0,0.0,0.0,0.33354000000000006,0.20601000000000003,9.84924
45454545,21.78,0.0,0.0,0.0,0.36297,0.22563,9.86886
50505050,21.78,0.0,0.0,0.0,0.35316,0.21582,9.86886
55555555,21.78,0.0,0.0,0.0,0.33354000000000006,0.20601000000000003,9.888480000000001
60606060,21.78,0.0,0.0,0.0,0.2943,0.20601000000000003,9.87867
65656565,21.78,0.0,0.0,0.0,0.30411,0.22563,9.84924
70707070,21.78,0.0,0.0,0.0,0.34335000000000004,0.22563,9.83943
75757575,21.78,0.0,0.0,0.0,0.36297,0.22563,9.84924
80808080,21.78,0.0,0.0,0.0,0.34335000000000004,0.21582,9.87867
85858585,21.78,0.0,0.0,0.0,0.31392000000000003,0.22563,9.86886
90909090,21.78,0.0,0.0,0.0,0.31392000000000003,0.21582,9.87867
95959595,21.78,0.0,0.0,0.0,0.30411,0.24525000000000002,9.85905
101010100,21.78,0.0,0.0,0.0,0.34335000000000004,0.25506,9.888480000000001
106060605,21.78,0.0,0.0,0.0,0.32373,0.25506,9.86886
111111110,21.78,0.0,0.0,0.0,0.31392000000000003,0.20601000000000003,9.86886
116161615,21.78,0.0,0.0,0.0,0.32373,0.1962,9.83943
121212120,21.78,0.0,0.0,0.0,0.31392000000000003,0.1962,9.84924
126262625,21.78,0.0,0.0,0.0,0.30411,0.18639,9.87867
131313130,21.78,0.0,0.0,0.0,0.34335000000000004,0.22563,9.888480000000001
136363635,21.78,0.0,0.0,0.0,0.35316,0.23544,9.86886
141414140,21.78,0.0,0.0,0.0,0.33354000000000006,0.22563,9.87867
146464645,21.78,0.0,0.0,0.0,0.30411,0.20601000000000003,9.87867
151515150,21.78,0.0,0.0,0.0,0.30411,0.20601000000000003,9.85905
156565655,21.78,0.0,0.0,0.0,0.33354000000000006,0.23544,9.85905
161616160,21.78,0.0,0.0,0.0,0.33354000000000006,0.21582,9.86886
166666665,21.78,0.0,0.0,0.0,0.33354000000000006,0.20601000000000003,9.87867
171717170,21.78,0.0,0.0,0.0,0.32373,0.20601000000000003,9.86886
176767675,21.78,0.0,0.0,0.0,0.31392000000000003,0.21582,9.888480000000001
181818180,21.78,0.0,0.0,0.0,0.34335000000000004,0.21582,9.84924
186868685,21.78,0.0,0.0,0.0,0.33354000000000006,0.22563,9.86886
191919190,21.78,0.0,0.0,0.0,0.35316,0.21582,9.85905
196969695,21.78,0.0,0.0,0.0,0.32373,0.21582,9.85905
202020200,21.78,0.0,0.0,0.0,0.31392000000000003,0.20601000000000003,9.888480000000001
207070705,21.78,0.0,0.0,0.0,0.31392000000000003,0.18639,9.84924
212121210,21.78,0.0,0.0,0.0,0.31392000000000003,0.21582,9.87867
217171715,21.78,0.0,0.0,0.0,0.34335000000000004,0.25506,9.86886
222222220,21.78,0.0,0.0,0.0,0.34335000000000004,0.23544,9.85905
227272725,21.78,0.0,0.0,0.0,0.35316,0.22563,9.85905
232323230,21.78,0.0,0.0,0.0,0.33354000000000006,0.20601000000000003,9.87867
237373735,21.78,0.0,0.0,0.0,0.32373,0.20601000000000003,9.87867
242424240,21.78,0.0,0.0,0.0,0.31392000000000003,0.1962,9.86886
247474745,21.78,0.0,0.0,0.0,0.31392000000000003,0.20601000000000003,9.86886
252525250,21.78,0.0,0.0,0.0,0.32373,0.23544,9.888480000000001
257575755,21.78,0.0,0.0,0.0,0.33354000000000006,0.22563,9.888480000000001
262626260,21.78,0.0,0.0,0.0,0.33354000000000006,0.24525000000000002,9.86886
267676765,21.78,0.0,0.0,0.0,0.35316,0.20601000000000003,9.86886
272727270,21.78,0.0,0.0,0.0,0.33354000000000006,0.20601000000000003,9.86886
277777775,21.78,0.0,0.0,0.0,0.32373,0.1962,9.87867
282828280,21.78,0.0,0.0,0.0,0.32373,0.23544,9.84924
287878785,21.78,0.0,0.0,0.0,0.35316,0.27468000000000004,9.888480000000001
292929290,21.78,0.0,0.0,0.0,0.35316,0.22563,9.888480000000001
297979795,21.78,0.0,0.0,0.0,0.33354000000000006,0.21582,9.85905
303030300,21.78,0.0,0.0,0.0,0.2943,0.21582,9.888480000000001
308080805,21.78,0.0,0.0,0.0,0.30411,0.1962,9.83943
313131310,21.78,0.0,0.0,0.0,0.2943,0.23544,9.86886
318181815,21.78,0.0,0.0,0.0,0.32373,0.22563,9.85905
323232320,21.78,0.0,0.0,0.0,0.36297,0.23544,9.87867
328282825,21.78,0.0,0.0,0.0,0.38259000000000004,0.21582,9.87867
333333330,21.78,0.0,0.0,0.0,0.32373,0.20601000000000003,9.86886
338383835,21.78,0.0,0.0,0.0,0.33354000000000006,0.18639,9.84924
343434340,21.78,0.0,0.0,0.0,0.30411,0.21582,9.86886
348484845,21.78,0.0,0.0,0.0,0.32373,0.25506,9.85905
353535350,21.78,0.0,0.0,0.0,0.35316,0.23544,9.86886
358585855,21.78,0.0,0.0,0.0,0.32373,0.25506,9.86886
363636360,21.78,0.0,0.0,0.0,0.32373,0.1962,9.84924
368686865,21.78,0.0,0.0,0.0,0.32373,0.1962,9.87867
373737370,21.78,0.0,0.0,0.0,0.34335000000000004,0.1962,9.87867
378787875,21.78,0.0,0.0,0.0,0.32373,0.23544,9.86886
383838380,21.78,0.0,0.0,0.0,0.34335000000000004,0.22563,9.89829
388888885,21.78,0.0,0.0,0.0,0.35316,0.22563,9.86886
393939390,21.78,0.0,0.0,0.0,0.33354000000000006,0.20601000000000003,9.87867
398989895,21.78,0.0,0.0,0.0,0.31392000000000003,0.20601000000000003,9.86886
404040400,21.78,0.0,0.0,0.0,0.31392000000000003,0.21582,9.84924
409090905,21.78,0.0,0.0,0.0,0.33354000000000006,0.21582,9.86886
414141410,21.78,0.0,0.0,0.0,0.36297,0.23544,9.87867
419191915,21.78,0.0,0.0,0.0,0.35316,0.24525000000000002,9.888480000000001
424242420,21.78,0.0,0.0,0.0,0.32373,0.22563,9.86886
429292925,21.78,0.0,0.0,0.0,0.32373,0.21582,9.87867
434343430,21.78,0.0,0.0,0.0,0.30411,0.20601000000000003,9.85905
439393935,21.78,0.0,0.0,0.0,0.31392000000000003,0.22563,9.83943
444444440,21.78,0.0,0.0,0.0,0.35316,0.23544,9.85905
449494945,21.78,0.0,0.0,0.0,0.35316,0.21582,9.85905
454545450,21.78,0.0,0.0,0.0,0.34335000000000004,0.22563,9.85905
459595955,21.78,0.0,0.0,0.0,0.33354000000000006,0.21582,9.888480000000001
464646460,21.78,0.0,0.0,0.0,0.31392000000000003,0.17658,9.87867
469696965,21.78,0.0,0.0,0.0,0.32373,0.1962,9.85905
474747470,21.78,0.0,0.0,0.0,0.32373,0.21582,9.888480000000001
479797975,21.78,0.0,0.0,0.0,0.34335000000000004,0.22563,9.85905
484848480,21.78,0.0,0.0,0.0,0.34335000000000004,0.22563,9.87867
489898985,21.78,0.0,0.0,0.0,0.33354000000000006,0.24525000000000002,9.85905
494949490,21.78,0.0,0.0,0.0,0.30411,0.20601000000000003,9.86886
499999995,21.78,0.0,0.0,0.0,0.32373,0.1962,9.85905
505050500,21.78,0.0,0.0,0.0,0.34335000000000004,0.21582,9.888480000000001
510101005,21.78,0.0,0.0,0.0,0.34335000000000004,0.26487,9.86886
515151510,21.78,0.0,0.0,0.0,0.33354000000000006,0.24525000000000002,9.85905
520202015,21.78,0.0,0.0,0.0,0.33354000000000006,0.25506,9.83943
525252520,21.78,0.0,0.0,0.0,0.32373,0.1962,9.84924
530303025,21.78,0.0,0.0,0.0,0.31392000000000003,0.20601000000000003,9.85905
535353530,21.78,0.0,0.0,0.0,0.34335000000000004,0.1962,9.86886
540404035,21.78,0.0,0.0,0.0,0.34335000000000004,0.21582,9.89829
545454540,21.78,0.0,0.0,0.0,0.35316,0.27468000000000004,9.888480000000001
550505045,21.78,0.0,0.0,0.0,0.35316,0.25506,9.87867
555555550,21.78,0.0,0.0,0.0,0.33354000000000006,0.24525000000000002,9.85905
560606055,21.78,0.0,0.0,0.0,0.33354000000000006,0.17658,9.86886
565656560,21.78,0.0,0.0,0.0,0.32373,0.1962,9.86886
570707065,21.78,0.0,0.0,0.0,0.32373,0.21582,9.85905
575757570,21.78,0.0,0.0,0.0,0.33354000000000006,0.24525000000000002,9.87867
580808075,21.78,0.0,0.0,0.0,0.36297,0.22563,9.84924
585858580,21.78,0.0,0.0,0.0,0.34335000000000004,0.23544,9.87867
590909085,21.78,0.0,0.0,0.0,0.33354000000000006,0.20601000000000003,9.86886
595959590,21.78,0.0,0.0,0.0,0.32373,0.18639,9.85905
601010095,21.78,0.0,0.0,0.0,0.32373,0.1962,9.86886
606060600,21.78,0.0,0.0,0.0,0.31392000000000003,0.23544,9.85905
611111105,21.78,0.0,0.0,0.0,0.31392000000000003,0.24525000000000002,9.86886
616161610,21.78,0.0,0.0,0.0,0.31392000000000003,0.23544,9.83943
621212115,21.78,0.0,0.0,0.0,0.34335000000000004,0.21582,9.86886
626262620,21.78,0.0,0.0,0.0,0.33354000000000006,0.20601000000000003,9.87867
631313125,21.78,0.0,0.0,0.0,0.32373,0.1962,9.91791
636363630,21.78,0.0,0.0,0.0,0.32373,0.21582,9.87867
641414135,21.78,0.0,0.0,0.0,0.30411,0.21582,9.87867
646464640,21.78,0.0,0.0,0.0,0.33354000000000006,0.24525000000000002,9.84924
651515145,21.78,0.0,0.0,0.0,0.34335000000000004,0.20601000000000003,9.85905
656565650,21.78,0.0,0.0,0.0,0.32373,0.22563,9.86886
661616155,21.78,0.0,0.0,0.0,0.33354000000000006,0.20601000000000003,9.86886
666666660,21.78,0.0,0.0,0.0,0.33354000000000006,0.18639,9.908100000000001
671717165,21.78,0.0,0.0,0.0,0.31392000000000003,0.21582,9.84924
676767670,21.78,0.0,0.0,0.0,0.32373,0.22563,9.888480000000001
681818175,21.78,0.0,0.0,0.0,0.35316,0.25506,9.85905
686868680,21.78,0.0,0.0,0.0,0.33354000000000006,0.21582,9.86886
691919185,21.78,0.0,0.0,0.0,0.33354000000000006,0.20601000000000003,9.82962
696969690,21.78,0.0,0.0,0.0,0.33354000000000006,0.20601000000000003,9.85905
702020195,21.78,0.0,0.0,0.0,0.30411,0.21582,9.85905
707070700,21.78,0.0,0.0,0.0,0.31392000000000003,0.20601000000000003,9.888480000000001
712121205,21.78,0.0,0.0,0.0,0.33354000000000006,0.26487,9.91791
717171710,21.78,0.0,0.0,0.0,0.31392000000000003,0.22563,9.85905
722222215,21.78,0.0,0.0,0.0,0.30411,0.20601000000000003,9.85905
727272720,21.78,0.0,0.0,0.0,0.2943,0.21582,9.84924
732323225,21.78,0.0,0.0,0.0,0.31392000000000003,0.16677000000000003,9.87867
737373730,21.78,0.0,0.0,0.0,0.34335000000000004,0.20601000000000003,9.85905
742424235,21.78,0.0,0.0,0.0,0.35316,0.20601000000000003,9.86886
747474740,21.78,0.0,0.0,0.0,0.36297,0.22563,9.888480000000001
752525245,21.78,0.0,0.0,0.0,0.34335000000000004,0.22563,9.87867
757575750,21.78,0.0,0.0,0.0,0.32373,0.20601000000000003,9.87867
762626255,21.78,0.0,0.0,0.0,0.31392000000000003,0.20601000000000003,9.85905
767676760,21.78,0.0,0.0,0.0,0.33354000000000006,0.20601000000000003,9.85905
772727265,21.78,0.0,0.0,0.0,0.31392000000000003,0.21582,9.84924
