#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
0,22.6,0.0,0.0,0.0,0.0,0.15696000000000002,9.81
5050505,22.6,0.0,0.0,0.0,0.02943,0.18639,9.79038
10101010,22.6,0.0,0.0,0.0,0.039240000000000004,0.16677000000000003,9.81
15151515,22.6,0.0,0.0,0.0,0.04905,0.15696000000000002,9.81
20202020,22.6,0.0,0.0,0.0,0.009810000000000001,0.14715,9.80019
25252525,22.6,0.0,0.0,0.0,0.02943,0.12753,9.81
30303030,22.6,0.0,0.0,0.0,0.039240000000000004,0.16677000000000003,9.81
35353535,22.6,0.0,0.0,0.0,0.009810000000000001,0.17658,9.819809999999999
40404040,22.6,0.0,0.0,0.0,0.019620000000000002,0.16677000000000003,9.819809999999999
45454545,22.6,0.0,0.0,0.0,0.02943,0.15696000000000002,9.80019
50505050,22.6,0.0,0.0,0.0,0.02943,0.13734000000000002,9.80019
55555555,22.6,0.0,0.0,0.0,0.039240000000000004,0.17658,9.80019
60606060,22.6,0.0,0.0,0.0,0.039240000000000004,0.14715,9.81
65656565,22.6,0.0,0.0,0.0,0.02943,0.15696000000000002,9.819809999999999
70707070,22.6,0.0,0.0,0.0,0.039240000000000004,0.15696000000000002,9.79038
75757575,22.6,0.0,0.0,0.0,0.019620000000000002,0.16677000000000003,9.819809999999999
80808080,22.6,0.0,0.0,0.0,0.04905,0.14715,9.80019
85858585,22.6,0.0,0.0,0.0,0.039240000000000004,0.12753,9.81
90909090,22.6,0.0,0.0,0.0,0.019620000000000002,0.14715,9.78057
95959595,22.6,0.0,0.0,0.0,0.02943,0.15696000000000002,9.79038
101010100,22.6,0.0,0.0,0.0,0.009810000000000001,0.14715,9.79038
106060605,22.6,0.0,0.0,0.0,0.02943,0.16677000000000003,9.78057
111111110,22.6,0.0,0.0,0.0,0.039240000000000004,0.14715,9.80019
116161615,22.6,0.0,0.0,0.0,0.04905,0.15696000000000002,9.770760000000001
121212120,22.6,0.0,0.0,0.0,0.05886,0.13734000000000002,9.79038
126262625,22.6,0.0,0.0,0.0,0.019620000000000002,0.14715,9.80019
131313130,22.6,0.0,0.0,0.0,0.05886,0.14715,9.81
136363635,22.6,0.0,0.0,0.0,0.02943,0.15696000000000002,9.81
141414140,22.6,0.0,0.0,0.0,0.02943,0.16677000000000003,9.79038
146464645,22.6,0.0,0.0,0.0,0.039240000000000004,0.15696000000000002,9.81
151515150,22.6,0.0,0.0,0.0,0.019620000000000002,0.15696000000000002,9.80019
156565655,22.6,0.0,0.0,0.0,0.02943,0.14715,9.79038
161616160,22.6,0.0,0.0,0.0,0.039240000000000004,0.15696000000000002,9.79038
166666665,22.6,0.0,0.0,0.0,0.019620000000000002,0.15696000000000002,9.81
171717170,22.6,0.0,0.0,0.0,0.02943,0.14715,9.79038
176767675,22.6,0.0,0.0,0.0,0.02943,0.18639,9.80019
181818180,22.6,0.0,0.0,0.0,0.04905,0.16677000000000003,9.81
186868685,22.6,0.0,0.0,0.0,0.02943,0.16677000000000003,9.81
191919190,22.6,0.0,0.0,0.0,0.039240000000000004,0.14715,9.80019
196969695,22.6,0.0,0.0,0.0,0.04905,0.14715,9.79038
202020200,22.6,0.0,0.0,0.0,0.05886,0.16677000000000003,9.82962
207070705,22.6,0.0,0.0,0.0,0.04905,0.14715,9.81
212121210,22.6,0.0,0.0,0.0,0.019620000000000002,0.15696000000000002,9.79038
217171715,22.6,0.0,0.0,0.0,0.02943,0.14715,9.81
222222220,22.6,0.0,0.0,0.0,0.039240000000000004,0.17658,9.81
227272725,22.6,0.0,0.0,0.0,0.0,0.13734000000000002,9.770760000000001
232323230,22.6,0.0,0.0,0.0,0.02943,0.14715,9.81
237373735,22.6,0.0,0.0,0.0,0.019620000000000002,0.15696000000000002,9.80019
