Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 15:14:32.706,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.024, -0.031, 1.004, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.706,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.024, -0.03, 1, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.706,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.025, -0.033, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.706,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.027, -0.029, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.737,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.025, -0.032, 1, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.737,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.028, -0.029, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.737,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.026, -0.03, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.737,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.026, -0.03, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.768,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.024, -0.032, 1.004, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.768,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.025, -0.029, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.768,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.024, -0.03, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.768,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.026, -0.032, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.827,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.024, -0.031, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.827,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.027, -0.03, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.827,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.024, -0.031, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.827,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.025, -0.031, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.856,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.027, -0.03, 1.004, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.857,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.024, -0.027, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.857,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.024, -0.03, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.857,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.026, -0.03, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.644, -41.650, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.886,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.026, -0.029, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.886,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.025, -0.03, 1.004, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.886,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.027, -0.033, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.886,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.025, -0.032, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.947,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.025, -0.031, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.947,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.025, -0.03, 0.998, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.947,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.025, -0.027, 1.005, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.947,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.026, -0.033, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.976,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.024, -0.031, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.976,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.025, -0.029, 1.004, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.976,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.028, -0.031, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:32.976,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.025, -0.03, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.036,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.028, -0.03, 1.005, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.036,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.028, -0.031, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.036,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.024, -0.034, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.036,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.060, 0.021, -0.028, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.066,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.03, -0.03, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.066,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.029, -0.029, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.066,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.025, -0.031, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.066,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.026, -0.03, 1.002, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.095,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.027, -0.032, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.095,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.025, -0.032, 1.003, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.095,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.025, -0.033, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.095,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.029, -0.029, 0.999, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.156,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.024, -0.03, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.156,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.026, -0.031, 1, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.156,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.024, -0.031, 1.004, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.156,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.026, -0.032, 1.001, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
 15:14:33.186,c2:22:89:2b:7b:c3, 2015-01-01 00:29:47.420, 0.025, -0.032, 1, 0, 0, 0, -1.747, -1.478, 126.524, 56.742, -41.748, -11.760, 22.28, 0.44998, 0.00467, -0.01941, 0.89276,
